transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
07-11-23 6:00,subway,424,"Pelham Pkwy (2,5)",Bronx,metrocard,Metrocard - Seniors & Disability,12,0,40.857193,-73.867615,POINT (-73.867615 40.857193)
07-11-23 2:00,subway,324,Houston St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,1,0,40.728252,-74.00536,POINT (-74.00536 40.728252)
07-11-23 12:00,subway,137,East 105 St (L),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,5,0,40.650574,-73.89948,POINT (-73.89948 40.650574)
07-11-23 23:00,subway,188,"Euclid Av (A,C)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,13,0,40.675377,-73.87211,POINT (-73.87211 40.675377)
07-11-23 23:00,subway,182,Ralph Av (C),Brooklyn,metrocard,Metrocard - Seniors & Disability,1,1,40.67882,-73.920784,POINT (-73.920784 40.67882)
07-11-23 20:00,subway,417,"Nereid Av (2,5)",Bronx,metrocard,Metrocard - Seniors & Disability,1,0,40.89838,-73.85438,POINT (-73.85438 40.89838)
07-11-23 10:00,subway,108,Middle Village-Metropolitan Av (M),Queens,metrocard,Metrocard - Unlimited 7-Day,11,0,40.711395,-73.8896,POINT (-73.8896 40.711395)
07-11-23 23:00,subway,14,"23 St (R,W)",Manhattan,omny,OMNY - Full Fare,110,1,40.741302,-73.98934,POINT (-73.98934 40.741302)
07-11-23 11:00,subway,146,181 St (A),Manhattan,metrocard,Metrocard - Other,5,0,40.851696,-73.937965,POINT (-73.937965 40.851696)
07-11-23 5:00,subway,418,"233 St (2,5)",Bronx,metrocard,Metrocard - Unlimited 7-Day,24,0,40.893192,-73.857475,POINT (-73.857475 40.893192)
07-11-23 7:00,subway,182,Ralph Av (C),Brooklyn,metrocard,Metrocard - Full Fare,75,7,40.67882,-73.920784,POINT (-73.920784 40.67882)
07-11-23 22:00,subway,320,23 St (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,36,0,40.74408,-73.99566,POINT (-73.99566 40.74408)
07-11-23 18:00,subway,278,"Jamaica Center-Parsons/Archer (E,J,Z)",Queens,metrocard,Metrocard - Full Fare,237,136,40.70215,-73.80111,POINT (-73.80111 40.70215)
